timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:35.660, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.661, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.661, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.662, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.663, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.663, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:35.664, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:36.745, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.746, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.747, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.748, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.748, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.749, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.750, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:36.751, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:37.820, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.821, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.822, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.823, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.824, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.825, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.826, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:37.827, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:38.899, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.900, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.901, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.902, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.903, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.904, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.905, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:38.906, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:39.978, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.980, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.981, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.983, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.984, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.986, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.987, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:39.989, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:32:41.072, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.074, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.076, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.077, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.079, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.080, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.082, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:32:41.083, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
2021/06/22 11:38:40.206, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.208, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.209, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.210, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.212, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.213, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.215, Tesla V100-SXM2-16GB, 0 %, 0 %
2021/06/22 11:38:40.216, Tesla V100-SXM2-16GB, 0 %, 0 %
timestamp, name, utilization.gpu [%], utilization.memory [%]
